央视,#genre#
肇庆综合,http://192.168.0.245:8080/gdtv.php?id=zqzh
肇庆生活服务,http://192.168.0.245:8080/gdtv.php?id=zqshfw
怀集综合,http://192.168.0.245:8080/gdtv.php?id=hjzh
中山综合,http://192.168.0.245:8080/gdtv.php?id=zszh
中山综合HD,http://192.168.0.245:8080/gdtv.php?id=zszhhd
中山香山文化,http://192.168.0.245:8080/gdtv.php?id=zsxswh
中山香山文化HD,http://192.168.0.245:8080/gdtv.php?id=zsxswhhd
中山教育,http://192.168.0.245:8080/gdtv.php?id=zsjy
港澳,#genre#
凤凰中文,http://192.168.0.245:8080/gdtv.php?id=fhzw
翡翠台,http://192.168.0.245:8080/gdtv.php?id=fct
明珠台,http://192.168.0.245:8080/gdtv.php?id=mzt
翡翠台HD,http://192.168.0.245:8080/gdtv.php?id=fcthd
明珠台HD,http://192.168.0.245:8080/gdtv.php?id=mzthd
澳视澳门,http://192.168.0.245:8080/gdtv.php?id=asam
星空卫视,http://192.168.0.245:8080/gdtv.php?id=xkws
澳亚卫视,http://192.168.0.245:8080/gdtv.php?id=ayws
其他,#genre#
求索生活,http://192.168.0.245:8080/gdtv.php?id=qssh
求索纪录,http://192.168.0.245:8080/gdtv.php?id=qsjl
求索科学,http://192.168.0.245:8080/gdtv.php?id=qskx
求索动物,http://192.168.0.245:8080/gdtv.php?id=qsdw
